Title,lat,lng,Tags (Keywords),Features,Category,id
Fassil Ethiopian Restaurant,49.262524,-123.0884,"injera,bread,beefstew,eastbroadway,platter,portions,dishes,combo,server,eatery,great lunch,good time,more option staff,lovely owner,honest service,more flavour,fantastic brought friend,awesome music,free item,adventurous eater,confirmed reservation,very impressed server,","Reservations,Seating,WheelchairAccessible,ServesAlcohol,Takeout,TableService","African,Ethiopian,Dinner,Lunch,VegetarianFriendly,GlutenFreeOptions",8960
La Terrazza,49.274776,-123.11866,"pasta,carpaccio,duck,flatbread,steak,oysters,italianfood,winelist,highlyrecommendthebeef,ourwaiter,rogersarena,wednesdaynight,appies,victoria,patrons,restaurant good service,great good food,great service food,excellent restaurant restaurant,best restaurant,good food,food good place,great food wine,best italian restaurant,best italian food,great meal service,food excellent service,food good price,great food,service amazing food,great italian food,best service,good review restaurant,many good restaurant,good food waitress,","Reservations,PrivateDining,Seating,WheelchairAccessible,ServesAlcohol,FullBar,TableService","Italian,European,Dinner,After-hours,VegetarianFriendly,GlutenFreeOptions",8967
The Cascade Room,49.261776,-123.100716,"fries,poutine,traditionalsundayroast,thestickytoffeepudding,beer,specials,happy hour,delicious birthday girl,cute patio table,happy discover,great meeting spot,safe sanitizer,really good hubby,many memory,","FullBar,Reservations,Seating,ServesAlcohol,AcceptsAmericanExpress,AcceptsMastercard,AcceptsVisa,FreeWifi,Takeout,Television,TableService","Bar,Pub,Canadian,Dinner,Brunch,After-hours,Drinks,VegetarianFriendly,GlutenFreeOptions",8976
Sorella,49.255165,-123.11534,"pappardelle,cornishhen,pasta,zeppole,doughnuts,clams,duck,parktheatre,madeinhouse,amazingfood,fiorella,dishes,amazing service,amazing evening meal,detailed service,great deal,special salad,unique item,love flavour,","Reservations,Seating,ServesAlcohol,TableService,AcceptsCreditCards","Italian,Dinner,VegetarianFriendly",8978
The Gluten Free Epicurean,49.257385,-123.09069,"sausagerolls,pie,pizza,gf,bakery,smoothies,ingredients,free quiche,love gf bakery,ton great pastry,pizza bun delicious,good sausage roll,most good gluten,amazing confection,special trip,kid love,very exciting staff,","Takeout,Seating","Canadian,Cafe,Healthy,Brunch,Breakfast,Lunch,VeganOptions,VegetarianFriendly",8980
Prado Cafe,49.28189,-123.10732,",nice aesthetic,special trip,customer better communication,nice surroundings,convenient great spot,free water,lovely place,","Seating,Takeout,WheelchairAccessible","Cafe,Canadian,Breakfast,Brunch,VegetarianFriendly,VeganOptions",8986
Stepho's Souvlaki Greek Taverna,49.287647,-123.12938,"souvlaki,roastlamb,calamari,bread,robsonstreet,largeportions,servings,tender,takeout,veggies,lemon,platter,good meal,good luck,fresh cute atmosphere,more salad,","Takeout,Reservations,OutdoorSeating,Seating,HighchairsAvailable,WheelchairAccessible,ServesAlcohol,FullBar,TableService","Mediterranean,Greek,Lunch,Dinner,VegetarianFriendly",8988
Pizzeria Farina,49.27657,-123.10013,",great chewy crust,simply love pizza,super service,","Takeout,ServesAlcohol,Seating,WheelchairAccessible,WineandBeer,GiftCardsAvailable","Italian,Pizza,Dinner,VegetarianFriendly",8992
Raga Restaurant,49.26354,-123.13064,",excellent food,great restaurant,friendly excellent service,great service,wonderful attentive staff,many newer place,great smiling people,roster famous people,clean atmosphere,delicious surprise,worthwhile experience,better deal,satisfying suppose,very nice people,their special meal,","Takeout,Reservations,Seating,WheelchairAccessible,ServesAlcohol,TableService","Indian,Lunch,Dinner,VegetarianFriendly,VeganOptions,GlutenFreeOptions",8995
Tractor Everyday Healthy Foods,49.268227,-123.14817,"soups,butternutsquash,salad,tuna,combos,downtown,kind food,healthy bite,delicious great people,healthy too food,","Takeout,Seating,WheelchairAccessible,Reservations","Healthy,Canadian,Soups,Lunch,Dinner,VegetarianFriendly,VeganOptions,GlutenFreeOptions",8996
Jitlada Thai Restaurant,49.263798,-123.137665,"thaifood,springrolls,papayasalad,jasminerice,artsclub,nicedecor,servicewasexcellent,dish,great food,excellent food,good thai restaurant,authentic thai food,sure food,top overwhelm food,attentive service,great time,more dish,much more restaurant,beautifully pamela,very nice decor,","Takeout,Reservations,Seating,ServesAlcohol,WheelchairAccessible,TableService","Asian,Thai,Dinner,Lunch,VegetarianFriendly,VeganOptions",9000
Simba's Grill Ltd,49.291115,-123.13611,"friedfish,curry,lamb,pigeonpeas,coconutchutney,enjoyedourmeal,westend,platter,burnaby,spicy,portions,dishes,chef,spinach,ordering,leftovers,meats,very good food,awesome portion,bright airy,favourite enjoy,ugali decor cute,many place,most excellent evening,more le,","Takeout,Seating,TableService,ServesAlcohol","African,Lunch,Dinner,VegetarianFriendly",9002
Coal Harbour Bar,49.28834,-123.11234,",great view,great bartender,dave best bartender,better service,amazing staff,","Seating,Television,WheelchairAccessible,ServesAlcohol,FullBar,AcceptsAmericanExpress,AcceptsMastercard,AcceptsVisa,DigitalPayments,FreeWifi,OutdoorSeating,TableService","Bar,Lunch,Dinner,",9009
Los Amigos Taqueria,49.280785,-123.13174,",friendly people,food authentic service,friendly service,good selection,many people,good day,oaxaca great colour,nice day,free churros,nice contrast,very friendly food,their great deal,amazing no word,","Takeout,Seating,StreetParking,AcceptsMastercard,AcceptsVisa,FreeWifi,AcceptsAmericanExpress,Reservations,AcceptsCreditCards","Mexican,Spanish,SouthAmerican,CentralAmerican,Lunch,Dinner,VegetarianFriendly",9011
Beyond Coffee,49.28102,-123.12733,",great food drink,royalty great spot,royalty great,many restaurant,","GiftCardsAvailable,Takeout,Seating,WheelchairAccessible,AcceptsAmericanExpress,AcceptsMastercard,AcceptsVisa,FreeWifi,Television,HighchairsAvailable","Canadian,Breakfast,Lunch,",9014
Cafe il nido,49.28461,-123.12394,"pasta,fieldmushrooms,focaccia,ossobucco,salmon,courtyardpatio,restaurantscene,robsonstreet,oliveoil,canada,wonderful italian meal,good thing,good menu,nice glass prosecco,amazing oil,worthy customer,great success,easy eye,one best tiramisu,our server excellent,really cute decor,","OutdoorSeating,Seating,ServesAlcohol,FullBar,AcceptsAmericanExpress,AcceptsMastercard,AcceptsVisa,AcceptsDiscover,Reservations,WheelchairAccessible,WineandBeer,FreeWifi,AcceptsCreditCards,TableService","Italian,Mediterranean,Lunch,Dinner,VegetarianFriendly,GlutenFreeOptions",9015
Kosoo,49.289284,-123.132706,",great food,huge pot food,happy find place,more drinking place,great thing order,nice portion size,service attentive,amazing taste,popular choice,amazing meal,delicious lunch,really good price,very nice music,","Reservations,Seating,ServesAlcohol,Takeout,TableService","Asian,Korean,Dinner,Lunch,VegetarianFriendly",9016
Fat Mao,49.27864,-123.098946,"laksa,noodlesoup,roti,soups,duckleg,noodlehouse,friendlyservice,maenam,chinatown,broth,spicy,beers,yum,vegetarian,eatery,fine noodle,most noodle house,good roti,good pork,great place,bc restaurant enjoy,love taste,many people,full leg quarter,top top,great staff,laksa superb,our dish good,","Seating,WheelchairAccessible,ServesAlcohol,TableService","Asian,Thai,Lunch,Dinner,VegetarianFriendly",9022
Sunshine Diner,49.264076,-123.16546,",good food,great choice,good brunch,good value price,great brunch meal,great care,place food delicious,attentive staff,awesome food,perfect portion,what great diner,nice way,lovely mix,cool booth,","Seating,WheelchairAccessible,TableService,HighchairsAvailable","American,Diner,Canadian,Breakfast,Brunch,Lunch,VegetarianFriendly,VeganOptions,GlutenFreeOptions",9024
Chocolate Arts,49.26879,-123.14145,",best chocolate,many chocolate,best truffle,special occasion visit,full meal,and and glad,","ParkingAvailable,Freeoff-streetparking,AcceptsAmericanExpress,AcceptsMastercard,AcceptsVisa,FreeWifi,Takeout,Seating,WheelchairAccessible","Cafe,Canadian,Lunch,",9052
Pholicious Restaurant,49.284286,-123.11209,"pho,springrolls,chickenpie,holeinthewall,deltasuites,hitthespot,comfortfood,order,excellent pho,best value,cheap eats,lovely lady,","Takeout,Reservations","Asian,Vietnamese,Soups,Dinner,Lunch,VegetarianFriendly,VeganOptions",9053
Yagger's,49.283127,-123.11257,",great recommendation food,friendly staff,happy hour weekend,friendly fun,great service,friendly price,full bar,nice server,special tortilla soup,quick lunch,cool night,amazing meal,very friendly couch,nice out broadway,their famous burger,","Seating,Television,ServesAlcohol,FullBar,Reservations,TableService","Bar,Pub,Canadian,American,Gastropub,Lunch,Dinner,",9054
Linh Cafe,49.26827,-123.16906,"pho,baguette,duck,lemontart,mussels,fries,springrolls,soup,steak,vietnamesecuisine,dabomb,thebraisedshortribs,thursdaynight,hotsauce,cookedtoperfection,carrots,spicy,good food,good service,great food,such good duck,best steak,delicious food,good neighbourhood option,pho delicious,great service,rich peppercorn sauce,awesome sauce,lot love,very rich beef,many year ago,my favorite,","Takeout,Reservations,ParkingAvailable,StreetParking,HighchairsAvailable,WheelchairAccessible,ServesAlcohol,WineandBeer,FreeWifi,Seating,TableService","French,Cafe,Asian,Vietnamese,Lunch,Dinner,Brunch,Breakfast,",9056
VeriFood,49.291492,-123.13516,",love love,delicious meal,perfect meal,amazing food,balsalmic top delicious,lot love,perfect spot,wonderful owner,rose sauce,really nice owner,","Takeout,Seating,WheelchairAccessible","Italian,Mediterranean,Dinner,Lunch,VegetarianFriendly",9061
Bao Down,49.28333,-123.103745,"baos,deliciousfillings,smallrestaurant,buns,dough,awesome nice music,just great place,trendy bao place,extremely good snack,crispier enjoy,surprisingly good doesn,very cheap price,","Takeout,Seating,ServesAlcohol","Asian,Fusion,Dinner,Lunch,VegetarianFriendly",9065
Picnix,49.298313,-123.13187,",best picnic,lovely picnic box,perfect picnic,simon amazing deal,many neat thing,lovely proprietor,really good food,nice area,welcome center,healthy meal,",OutdoorSeating,"Canadian,Lunch,Dinner,VegetarianFriendly",9067
Sushiholic,49.29063,-123.13646,",good location,food beautiful tasty,sure order,more location,very good sushi,great restaurant,their awesome roll,","Takeout,Seating,WheelchairAccessible,ServesAlcohol,TableService","Japanese,Sushi,Asian,Lunch,Dinner,VegetarianFriendly",9069
Whip Restaurant Gallery,49.265488,-123.10027,"brunch,poutine,fries,lovethisplace,beer,server,cheese,patrons,great food,great variety,great dinner,good atmosphere restaurant,u excellent service,burger amazing,damn great service,fry light crispy,very good idea,able park,top ranking,very hot evening,","Seating,ServesAlcohol,FullBar,Reservations,TableService","Bar,Canadian,Lunch,Dinner,Breakfast,VegetarianFriendly",9070
Cafe Lokal,49.268295,-123.16453,",great coffee espresso,best coffee,great experience place,great place,place lovely staff,best place,great detail word,excellent service,delicious sandwich pastry,unforgettable entree,","Takeout,Seating,WheelchairAccessible","Cafe,Canadian,Breakfast,Lunch,VegetarianFriendly",9071
Torafuku,49.275974,-123.09975,"porkbelly,calamari,dumplings,mango,steak,salad,tacos,fries,rabbitfood,chocolateganache,longtable,sharingdishes,dineoutvancouver,plate,dessert,booth,neighborhood,full choice,awesome dish,happy hour,great service,great recommend,good pace,amazing tasty flavourful,quick lunch,friendly staff,item ok price,","Reservations,Seating,WheelchairAccessible,ServesAlcohol,TableService","Asian,Dinner,Lunch,VegetarianFriendly,GlutenFreeOptions",9075
Paramount Middle Eastern Cuisine,49.280396,-123.11855,"shawarma,hummus,mixedgrill,beef,wraps,potatoes,garlicsauce,yourplate,lastnight,excellentfood,vegetarian,great food,quick service,vancouver great choice,great success hubby,good mark quality,huge variety meat,able assist beef,vegetarian special,more pepper tomato,friendly staff,quickly service excellent,nicely spiced service,","Takeout,Seating,WheelchairAccessible,TableService","Lebanese,Mediterranean,MiddleEastern,Lunch,Dinner,VegetarianFriendly,VeganOptions,Halal,GlutenFreeOptions",9077
Wallflower Modern Diner,49.263615,-123.1007,"brunch,nachos,chickenfingers,eggsbenny,avocadotoast,hash,salad,glutenfree,greatveganoptions,veganbreakfast,mainst,casualatmosphere,streetparking,busyplace,omnivore,gf,veggies,delicious veggie hash,more cheese,great vegan,","Takeout,Seating,HighchairsAvailable,WheelchairAccessible,ServesAlcohol,FullBar,TableService,Reservations","Diner,Canadian,Breakfast,Lunch,Dinner,Brunch,After-hours,Drinks,VegetarianFriendly,VeganOptions,GlutenFreeOptions",9078
Twb - The Wine Bar,49.27328,-123.11942,",,","OutdoorSeating,ServesAlcohol,TableService,Reservations,Seating,WheelchairAccessible","WineBar,Italian,Spanish,Lunch,Dinner,Drinks,",9080
A La Mode Pie Café,49.272457,-123.134636,"clamchowder,pies,potpie,pastry,potatoes,frenchonion,publicmarket,granvilleisland,crust,,","WheelchairAccessible,Takeout","Soups,Cafe,Canadian,Breakfast,Lunch,Dinner,Brunch,",9081
Mr Shawarma Food Truck,49.28559,-123.12634,"shawarma,chickenwrap,fries,quickbite,artgallery,foodwasgreat,pita,downtown,spicy,sauce,robson,friendly food,best falafel box,friendly service,quick bite downtown,vegetarian friendly vegan,","Takeout,WheelchairAccessible","MiddleEastern,Fastfood,Lunch,VegetarianFriendly,VeganOptions,Halal",9088
Hubbub,49.28206,-123.12284,",great taste,friendly counter person,nice baguette style,my favorite discovery,mostly chopped lettuce,","Delivery,Takeout,Seating,WheelchairAccessible,WineandBeer,AcceptsMastercard,AcceptsVisa,DigitalPayments,ServesAlcohol",",Lunch,Dinner,VegetarianFriendly",9101
Memphis Blues Barbeque House,49.279743,-123.11726,"brisket,fries,sandwich,hugeportions,bbq,meat,tender,great great food,great bbq food,great bbq place,good fast food,great quality food,food good decor,great deal food,good bbq,great bbq,best meat platter,good southern bbq,good meat,great place,great bbq house,great meat,amazing food,good lot meat,good sauce,excellent food,good time,","Delivery,Reservations,WheelchairAccessible,Takeout,Seating,ServesAlcohol,AcceptsAmericanExpress,AcceptsMastercard,AcceptsVisa,AcceptsDiscover,TableService,HighchairsAvailable","American,Barbecue,Lunch,Dinner,",9105
Mangia Cucina & Bar,49.265446,-123.10675,"arancina,cozze,spaghetticarbonara,tiramisu,panini,prosciutto,authenticitaliancuisine,heritagehome,chefalessandro,excellentfood,crust,neighborhood,appies,ingredients,cream,mains,servers,,","Reservations,Seating,TableService,Takeout,OutdoorSeating,Freeoff-streetparking,ServesAlcohol,FullBar,WineandBeer,FreeWifi,AcceptsCreditCards","Italian,Sicilian,Southern-Italian,Pizza,Lunch,Dinner,Brunch,Drinks,VegetarianFriendly",9108
Costco,49.278557,-123.10933,",great saving,more minute,very good place,","Takeout,WheelchairAccessible","American,Fastfood,Canadian,Lunch,",9109
Firecrust - Davie,49.27787,-123.1273,"pizza,salad,buildyourown,greatcrust,toppings,,","Takeout,Seating,WheelchairAccessible,Delivery","Italian,Pizza,Fastfood,Lunch,Dinner,VegetarianFriendly,VeganOptions",9110
General Public,49.255756,-123.1013,",great sushi,great service,great tune,great job,great energy,great thanks,nice ambiance,loved price,unique experience,bill cool atmosphere,strongly recommend place,wing delicious,my happy place,u incredible restaurant,very cool venue,","Takeout,Reservations,Seating,ServesAlcohol,WheelchairAccessible,TableService","Japanese,Sushi,Asian,Dinner,Lunch,VegetarianFriendly",9111
Railtown Cafe,49.28481,-123.09542,"lunch,sandwich,smokedturkey,protein,neighborhood,order,downtown,gastown,best salad,great food,nice service,sandwich popular choice,excellent local beer,comfortable surroundings,which special day,","Takeout,Seating,WheelchairAccessible,Reservations","Cafe,Canadian,Lunch,Breakfast,Dinner,Brunch,VegetarianFriendly,VeganOptions,GlutenFreeOptions",9115
Musette Caffe,49.277775,-123.13133,",background great vibe,loved way place,more choice,more experience,your lap top,","ParkingAvailable,StreetParking,Freeoff-streetparking,Television,AcceptsMastercard,AcceptsVisa,FreeWifi,Seating,Takeout,AcceptsCreditCards","Cafe,Canadian,Breakfast,Lunch,Dinner,VegetarianFriendly",9118
Blarney Stone,49.282784,-123.104256,"chickenpotpie,pizza,greatlivemusic,saturdaynight,gastown,beers,pint,weeknight,canada,bc,great fun,great night,greatest showman,great bartender,super fun night,nice food,how great food,healthy clientele,","Reservations,Seating,Television,WheelchairAccessible,ServesAlcohol,FullBar,FreeWifi,TableService,LiveMusic","Irish,Bar,Pub,Lunch,Dinner,After-hours,Drinks,",9120
The Diamond,49.283306,-123.10421,"charcuterieboard,greatcocktails,gassyjack,saturdaynight,hip,great drink,fantastic service,happy hour menu,happy hour,better place,unique spot,jade statue excellent,quiet surprising u,very nice place,cool concoction,diamond u great,very good selection,","Reservations,Seating,ServesAlcohol,FullBar,TableService","Contemporary,Dinner,After-hours,Drinks,",9126
Pat's Pub,49.281456,-123.09489,"burger,fries,patriciahotel,greatbeer,lager,beers,grub,great time place,great time,pleasant pub atmosphere,good example genre,great side salad,stranger great fun,amazing jazz band,very good pub,fry free,their many salad,very delicious samantha,","Seating,ServesAlcohol,FullBar,Takeout,Television,WheelchairAccessible,LiveMusic","Bar,Pub,BrewPub,Dinner,Lunch,",9129
Kamei Royale,49.287487,-123.11838,"sashimiboat,sushi,yakisoba,lobsterroll,omakase,beef,doubledragon,generousservings,japanesecuisine,niceatmosphere,friendlyservice,dishes,appetizers,salty,good food,great comfort food,full flavor yakisoba,quality love sashimi,excellent bigger group,omakase appetizer love,more interesting cuisine,","Takeout,Reservations,Seating,ServesAlcohol,TableService","Japanese,Seafood,Sushi,Asian,Lunch,Dinner,VegetarianFriendly",9131
Ebisu on Robson,49.28597,-123.12719,"sushi,oysters,tempura,chickenwings,mango,smokedsalmon,thefoodisgreat,downtown,menus,yelp great sushi,great place,happy hour,great service,warm food,overall delicious food,huge volume food,good service,good tip,just perfect sushi,more tea,excellent job,sweet potato,bright red lipstick,many people,still excellent place,roll delicious,","Takeout,Reservations,Seating,StreetParking,Freeoff-streetparking,Television,ServesAlcohol,FullBar,WineandBeer,AcceptsAmericanExpress,AcceptsMastercard,AcceptsVisa,TableService,HighchairsAvailable","Japanese,Sushi,Asian,Fusion,Lunch,Dinner,Drinks,After-hours,VegetarianFriendly,GlutenFreeOptions",9138
Octopus's Garden Restaurant,49.272552,-123.14989,"sashimi,bluefintuna,octopusgarden,ownerchef,johnbishop,japanesedishes,lecrocodile,sada,kits,toro,fuller,ingredients,diners,lovely walk restaurant,wonderful place,friendly staff,place joy,best king crab,kit best sushi,unique dish,happy safe moment,hour advanced notice,more specialty item,many u,far best place,many year,quick flash,huge selection nigiri,joy happiness,also great staff,top set,really great chef,special board,","Reservations,Seating,ServesAlcohol,TableService","Japanese,Sushi,Asian,Seafood,Dinner,",9140
Ukrainian Village,49.291332,-123.13579,"cabbagerolls,borscht,schnitzel,sourcream,bigportions,visitedthisrestaurant,comfortfood,perogie,pilsner,vegetarian,olives,craving,full plate food,friendly parking,","Reservations,Seating,WheelchairAccessible,ServesAlcohol,WineandBeer,TableService,Takeout","EasternEuropean,Ukrainian,Lunch,Dinner,VegetarianFriendly",9142
Ramen Danbo,49.268055,-123.146355,"ramen,noodles,longwait,thickness,firmness,bowl,salty,best ramen,many popular ramen,more sophisticated ramen,noodle great care,sure not beach,my wonderful experience,more then dozen,",,"Japanese,Lunch,Dinner,",9147
Sciue Italian Bakery Caffe,49.28525,-123.11634,"brunch,pizza,breakfastsandwich,greatcoffee,italianstyle,good lunch item,most place,nice spot,","Television,WheelchairAccessible,Takeout,OutdoorSeating,Seating,StreetParking,AcceptsAmericanExpress,AcceptsMastercard,AcceptsVisa,ServesAlcohol,FullBar,AcceptsCreditCards","Cafe,Italian,Pizza,Brunch,Drinks,Breakfast,Lunch,VegetarianFriendly",9148
Pizzeria Barbarella,49.262337,-123.08988,",excellent pizza,good selection,great kid menu,quantity perfect house,very good drive,true sense,more kidless crowd,","Delivery,Takeout,Reservations,Buffet,Seating,WheelchairAccessible,ServesAlcohol,FullBar,WineandBeer,AcceptsMastercard,AcceptsVisa,AcceptsCreditCards,TableService","Pizza,Italian,Canadian,Lunch,Dinner,VegetarianFriendly",9151
Storm Crow Alehouse,49.2637,-123.14166,"brunch,burger,nerd,beer,vegan,good service,unique beer,great vibe,interesting decor movie,interesting name,","Reservations,OutdoorSeating,Seating,ParkingAvailable,WheelchairAccessible,ServesAlcohol,FullBar,AcceptsMastercard,AcceptsVisa,DigitalPayments,FreeWifi,AcceptsCreditCards,TableService,Television,GiftCardsAvailable","BrewPub,Bar,Pub,Canadian,Gastropub,Lunch,Dinner,Drinks,VegetarianFriendly,VeganOptions,GlutenFreeOptions",9152
Rhinofish Noodle Bar,49.279545,-123.09966,",great food,friendly service,authentic recommend place,quick stop place,great service,friendly staff,amazing price,many night,super delicious,","Seating,WheelchairAccessible,TableService,Reservations","Asian,Taiwanese,Chinese,Dinner,Lunch,VegetarianFriendly",9153
Kazami Japanese Restaurant,49.28879,-123.131294,"tempura,sushi,excellentqualityandpresentation,setmeal,hugeportions,freshfood,awesomefood,robsonstreet,chef,plate,server,taste,best sushi,good time,good photo,good value,great selection sushi,chance sushi delicious,excellent service,stunning presentation,friendly staff,just beautiful food,grand opening,beautifully decorated restaurant,huge portion,very beautiful presentation,what wonderful experience,even more fun,","Reservations,TableService,Takeout,Seating","Japanese,Asian,Lunch,Dinner,VegetarianFriendly,VeganOptions",9155
Sushi Bar Maumi,49.281197,-123.13344,"omakase,nigiri,freshfish,edomae,rice,orderadditional,chef,bute,wasabi,delicious sushi,good traditional omakase,best sushi,best place,best fresh others,amazing fish,nice night,great pair,better perfection,either more care,","Reservations,Seating,AcceptsAmericanExpress,AcceptsMastercard,AcceptsVisa,FreeWifi,AcceptsDiscover,AcceptsCreditCards","Japanese,Sushi,Asian,Seafood,Dinner,",9158
Sushi Bella,49.312572,-123.07775,"sashimi,northshore,allyoucaneat,qualityoffood,yum,mouth,great sushi lunch,best quality food,good service,good japanese food,overall good food,delicious sushi,dinner good portion,original sushi pizza,great service,great place,good size,great kitchen restaurant,good value,good oil,great review food,many sushi place,great sushi dish,hint great lunch,good read review,great sushi,","Takeout,Seating,ServesAlcohol,TableService","Japanese,Sushi,Asian,Lunch,Dinner,VegetarianFriendly,GlutenFreeOptions",9161
Ludica Pizzeria,49.279686,-123.10834,",good pizza service,great atmosphere,amazing food,great price,wonderful time,loved place,good lighting,quick birthday cake,friendly pasta,also great guy,huge wall,lovely waitress,most patron,her kind feeling,","Takeout,Reservations,Seating,WheelchairAccessible,ServesAlcohol,TableService","Italian,Pizza,Dinner,Lunch,VegetarianFriendly,VeganOptions",9162
Heirloom Vegetarian,49.26081,-123.13922,"brunch,hash,kalesalad,pecanpancakes,tacos,burger,plantbased,supertasty,omnivore,granville,gf,crispy,meat,servers,dish,great brunch lunch,such good brunch,fantastic service,helpful great recommendation,fantastic meal,too good noise,also wonderful am,","Seating,TableService","Contemporary,Canadian,Lunch,Brunch,Breakfast,Dinner,VegetarianFriendly,VeganOptions",9164
Campagnolo,49.275333,-123.099815,"pasta,canelloni,tiramisu,truffle,poutine,fries,familystyle,dineoutvancouver,deliciousmeal,anearlydinner,anappetizer,ceci,dish,server,crispy,negroni,olives,great eats,good food,excellent food,delicious meal,happy hour,enjoyed conchiglie,comfortable table,free parking,good way,ok bun,lovely evening,best tiramisu,your outstanding service,very pleasant meal,","Reservations,Seating,WheelchairAccessible,ServesAlcohol,FullBar,TableService,HighchairsAvailable","Italian,Pizza,Dinner,Lunch,After-hours,VegetarianFriendly",9167
Delhi 6 Indian Bistro,49.26534,-123.14494,"naan,mangocurry,biryani,butternutsquash,chicken,indianfood,portionsize,bestindian,excellentrestaurant,niceambience,dishes,canada,presentation,good vegetarian food,good service,vancouver wonderful menu,one best restaurant,delicious staff,light delicious butternut,variety familiar dish,u good chat,superb ambiance,more matzo,","Reservations,Seating,Television,ServesAlcohol,FullBar,AcceptsAmericanExpress,AcceptsMastercard,AcceptsVisa,FreeWifi,AcceptsDiscover,TableService,Delivery,Takeout","Indian,Asian,Fusion,Lunch,Dinner,VegetarianFriendly,VeganOptions",9168
Thai House Restaurant,49.31146,-123.08017,"thaifood,rice,redcurry,tigerprawns,salad,lovespicyfood,weekendbrunch,recommendthisrestaurant,servicewasexcellent,spiciness,booth,canada,best thai food,good food,good measurement food,great food,food fantastic restaurant,good service,best thai,city good service,delicious food,good cheap lunch,most food,awesome food,food superb,okay food,best place,great service,best table,fantastic quality food,good review place,best price,","Takeout,Reservations,Seating,WheelchairAccessible,ServesAlcohol,TableService,Delivery,FullBar","Asian,Thai,Lunch,Dinner,Brunch,VegetarianFriendly,VeganOptions,GlutenFreeOptions",9176
Chutney Villa South Indian Cuisine,49.26308,-123.10181,"lamb,keralaparatha,authentictaste,sambal,moru,mustard,authentic taste,full spread,","Takeout,Reservations,Seating,WineandBeer,AcceptsAmericanExpress,AcceptsMastercard,AcceptsVisa,DigitalPayments,FreeWifi,TableService,Delivery,HighchairsAvailable,ServesAlcohol","Indian,International,Asian,Dinner,Lunch,VegetarianFriendly,VeganOptions,GlutenFreeOptions",9182
Cheesecake Etcetera,49.26645,-123.1386,",great cheese cake,original cheese cake,good atmosphere,special night,much better place,my favourite original,","Takeout,Seating,TableService,JazzBar","Cafe,After-hours,",9185
Vancouver Lookout,49.28443,-123.11198,",good visit view,good view,sunset amazing view,great service washroom,good value,wonderful conversation,","Seating,ServesAlcohol,Reservations,WheelchairAccessible,TableService",",Lunch,Dinner,",9186
131 Water Kitchen and Bar,49.284065,-123.10735,"fishandchips,chowder,gastown,waterstreet,steamclock,gastown,margarita,good spot watch,lot better food,good idea,good appetizer,happy hour price,lovely sunny day,special drink,","OutdoorSeating,Seating,ServesAlcohol,FullBar,TableService,Television","Bar,Canadian,Pub,Gastropub,Lunch,Dinner,",9188
Los Cuervos Taqueria Y Cantina,49.25741,-123.09113,"brunch,tacos,aguacate,chipsandsalsa,taichi,smallmenu,margarita,beer,toppings,vegan,great taco,great selection taco,amazing service,","Reservations,Seating,WheelchairAccessible,ServesAlcohol,FullBar,TableService,Takeout","Mexican,Dinner,VegetarianFriendly",9192
Rogue Kitchen & Wetbar - Broadway,49.263126,-123.11766,"whitechocolatecheesecake,brusselsprouts,frenchfries,fishandchips,tacos,salad,calamari,steak,happyhourmenu,placetoeat,visitingvancouver,friendlyservice,beer,server,gravy,vegan,,","Reservations,Seating,WheelchairAccessible,ServesAlcohol,TableService,Television","Bar,Canadian,American,Pub,Lunch,Dinner,VegetarianFriendly",9194
Strathcona Beer Company,49.281197,-123.08516,"pizza,meatballs,salad,ipa,neighborhood,canadian,great room beer,great beer selection,great beer list,delicious beer,atmosphere good service,good choice,great staff,their good beer,definitely best brewery,vancouver delicious ipas,really good location,meatball top shelf,huge fan superflux,delicious fare,clean washroom,which outstanding light,their special menu,","WheelchairAccessible,ServesAlcohol,Takeout,Seating","Pub,Pizza,Canadian,Lunch,Dinner,VegetarianFriendly",9201
Yohachi Sushi,49.311996,-123.081985,",best japanese food,more sushi service,kind sushi staff,satisfied food,quality food excellent,good meal,great place dinner,good variety,good word,good stuff,good size yohachi,wonderful dish,fish quality superb,outstanding dish,roll amazing staff,greater vancoyver,nice atmosphere,really nice food,greater vancoyver thtcimes,attentive staff,","Takeout,Reservations,Seating,ServesAlcohol,WheelchairAccessible,TableService","Japanese,Sushi,Asian,Lunch,Dinner,VegetarianFriendly",9216
The Poke Guy,49.283916,-123.11222,"ahituna,rice,salad,imitationcrab,freshingredients,seaweed,toppings,cucumber,downtown,dish,better poke bowl,best part,excellent music playing,ok conclusion,","ParkingAvailable,StreetParking,AcceptsMastercard,AcceptsVisa,FreeWifi,Takeout,Seating","Healthy,Hawaiian,Seafood,Fastfood,Dinner,Lunch,",9217
WildTale Olympic Village,49.269436,-123.108246,"meatballs,oysters,arcticchar,lamb,fries,thehappyhourmenu,theflyingpig,maincourse,dine,tender,eats,sauce,server,appetizers,good food,good choice food,time happy hour,happy hour menu,good thing,cheap dessert portion,nice booth table,amazing lamb tender,great menu,wonderful overall wildtale,great recommendation,great chris,chris love,their happy hour,great everyone,even better nathalie,","Reservations,Seating,WheelchairAccessible,ServesAlcohol,TableService","American,Canadian,Dinner,Lunch,Drinks,VegetarianFriendly",9218
